"","name","working","number","number2","address","lon","lat"
"46","207. 여의나루역 1번출구 앞","운영중",22,21,"서울특별시 영등포구 여의동로 지하343 여의나루역 1번출구 앞",126.931454,37.5204242
"47","209. 유진투자증권빌딩 앞","운영중",12,7,"서울특별시 영등포구 국제금융로 24 24-3",126.931131,37.521074
"48","210. 신한금융투자후문 앞","운영중",12,0,"서울특별시 영등포구 은행로 59 2-11",126.9222995,37.5286345
"49","211. 여의도역 4번출구 옆","운영중",13,0,"서울특별시 영등포구 국회대로68길 7 26",126.9198089,37.5287144
"50","212. 여의도역 1번출구 옆","운영중",35,12,"서울특별시 영등포구 의사당대로 88 27-1",126.92247,37.5229725
"51","213. KT앞","운영중",15,9,"서울특별시 영등포구 여의대로 38 27",126.9225703,37.5237584
"52","214. 금융감독원 앞","운영중",20,2,"서울특별시 영등포구 여의대로 38 금융감독원 앞",126.9225703,37.5237584
"53","215. 여의도고교 앞","운영중",10,9,"서울특별시 영등포구 국제금융로7길 37 여의도고등학교 앞",126.9328314,37.5235673
"54","216. 삼부아파트1동 앞","운영중",10,12,"서울특별시 영등포구 국제금융로7길 27 삼부아파트 1동 앞",126.9328314,37.5235673
"55","217. NH농협은행 앞","운영중",10,3,"서울특별시 영등포구 국제금융로8길 2 NH농협은행 앞",126.9287958,37.5206716
"56","218. 증권거래소 앞","운영중",20,11,"서울특별시 영등포구 여의나루로 76 증권거래소 앞",126.9279862,37.5227889
"57","219. 롯데캐슬엠파이어 옆","운영중",12,7,"서울특별시 영등포구 의사당대로 127 롯데캐슬엠파이어 옆",126.92247,37.5229725
"58","220. 미성아파트 A동 앞","운영중",30,5,"서울특별시 영등포구 의사당대로 110 미성아파트 A동 앞",126.92247,37.5229725
"59","221. 여의도초교 앞","운영중",10,9,"서울특별시 영등포구 여의대방로 439 여의도초등학교 앞",126.9192153,37.5035749
"60","222. 시범아파트버스정류장 옆","운영중",12,12,"서울특별시 영등포구 63로 45 시범아파트버스정류장 옆",126.937411,37.519152
"61","223. 진주아파트상가 앞","운영중",20,11,"서울특별시 영등포구 국제금융로 108-6 진주아파트상가 앞",126.931131,37.521074
"62","224. 롯데캐슬 앞","운영중",20,11,"서울특별시 영등포구 국제금융로 86 롯데캐슬 앞",126.931131,37.521074
"63","225. 앙카라공원 앞","운영중",26,20,"서울특별시 영등포구 의사당대로 지하166 앙카라공원 앞",126.92247,37.5229725
"64","226. 샛강역 1번출구 앞","운영중",20,6,"서울특별시 영등포구 의사당대로 지하166 샛강역 1번출구 앞",126.92247,37.5229725
"65","300. 정동사거리","운영중",7,6,"서울특별시 중구 정동길 2-1 정동사거리",126.9707912,37.5669379
"66","301. 경복궁역 7번출구 앞","운영중",7,8,"서울특별시 종로구 사직로 지하130 경복궁역 7번출구 앞",126.9680507,37.5748378
"67","302. 경복궁역 4번출구 뒤","운영중",7,9,"서울특별시 종로구 사직로 지하130 경복궁역 4번출구 뒤",126.9680507,37.5748378
"68","303. 광화문역 1번출구 앞","운영중",8,3,"서울특별시 종로구 세종대로 지하189 세종로공원",126.9771833,37.5722304
"69","304. 광화문역 2번출구 앞","운영중",7,4,"서울특별시 종로구 세종대로 지하172 광화문역 2번출구 앞",126.9771833,37.5722304
"70","305. 종로구청 옆","운영중",6,2,"서울특별시 종로구 삼봉로 43 종로구청 옆",126.9811966,37.5721365
"71","306. 광화문역 7번출구 앞","운영중",9,3,"서울특별시 종로구 세종대로 지하172 광화문역 7번출구 앞",126.9771833,37.5722304
